id,name,author,enrolls,description,image,link,overall_rating,catagory,platform,university,released_date,country,language,price,duration,certificate,material_type,added_by,num_of_reviews,num_of_ratings,image_mobile,total_ratings
198,Data Science Methodology,IBM,89k,"","",https://www.coursera.org/search?query=Data Science Methodology,4.6,Computer Science,Coursera,IBM,2022-08-18,India,English,0,4,false,Videos,Neesham,0,0,,0
199,Data Science: Foundations using R,Johns Hopkins University,740k,"","",https://www.coursera.org/search?query=Data Science: Foundations using R,4.6,Computer Science,Coursera,Johns Hopkins University,2022-08-18,India,English,0,4,false,Videos,Neesham,0,0,,0
200,Data Science: Statistics and Machine Learning,Johns Hopkins University,210k,"","",https://www.coursera.org/search?query=Data Science: Statistics and Machine Learning,4.4,Computer Science,Coursera,Johns Hopkins University,2022-08-18,India,English,0,4,false,Videos,Neesham,0,0,,0
203,Data Visualization with Python,IBM,66k,"","",https://www.coursera.org/search?query=Data Visualization with Python,4.6,Computer Science,Coursera,IBM,2022-08-18,India,English,0,4,false,Videos,Neesham,0,0,,0
204,Data Visualization with Tableau,"University of California, Davis",96k,"","",https://www.coursera.org/search?query=Data Visualization with Tableau,4.5,Computer Science,Coursera,"University of California, Davis",2022-08-18,India,English,0,4,false,Videos,Neesham,0,0,,0
205,Data Warehousing for Business Intelligence,University of Colorado System,140k,"","",https://www.coursera.org/search?query=Data Warehousing for Business Intelligence,4.5,Computer Science,Coursera,University of Colorado System,2022-08-18,India,English,0,4,false,Videos,Neesham,0,0,,0
952,Microsoft Excel - Excel from Beginner to Advanced,Kyle Pew,705316,"Excel with this A-Z Microsoft Excel Course. Microsoft Excel 2010, 2013, 2016, Excel 2019 and Microsoft/Office 365",https://img-c.udemycdn.com/course/240x135/793796_0e89_2.jpg,https://www.udemy.com/course/microsoft-excel-2013-from-beginner-to-advanced-and-beyond/,0.0,Computer Science,Udemy,"",2022-09-02,India,English,500,4,false,Videos,Neesham,0,0,https://img-c.udemycdn.com/course/125_H/793796_0e89_2.jpg,0
214,Dermatology: Trip to skin,Novosibirsk State University ,8.2k,"","",https://www.coursera.org/search?query=Dermatology: Trip to skin,4.4,Computer Science,Coursera,Novosibirsk State University ,2022-08-18,India,English,0,4,false,Videos,Neesham,0,0,,0
956,PowerPoint for Beginners - Program & Animation Basics FREE,Andrew Pach,123900,PowerPoint basics is a free course where you learn basics about the software and its animation features. Enjoy!,https://img-c.udemycdn.com/course/240x135/1931574_a4f4_2.jpg,https://www.udemy.com/course/powerpoint-for-beginners-free/,0.0,Computer Science,Udemy,"",2022-09-02,India,English,500,4,false,Videos,Neesham,0,0,https://img-c.udemycdn.com/course/125_H/1931574_a4f4_2.jpg,0
220,Developing APIs with Google Cloud's Apigee API Platform,Google Cloud,16k,"","",https://www.coursera.org/search?query=Developing APIs with Google Cloud's Apigee API Platform,4.6,Computer Science,Coursera,Google Cloud,2022-08-18,India,English,0,4,false,Videos,Neesham,0,0,,0
984,Mastering Data Structures & Algorithms using C and C++,Abdul Bari,0,You may be new to Data Structure or you have already Studied and Implemented Data Structures but still you feel you need to learn more about Data Structure in detail so that it helps you solve challenging problems and used Data Structure efficiently.,https://res.cloudinary.com/hire-easy/image/upload/v1662629089/abdul_bari_btphj5.jpg,https://www.udemy.com/course/datastructurescncpp/,4.0,Computer Science,Udemy,"",2022-09-08,India,English,499,4,true,Videos,Neesham,0,0,https://res.cloudinary.com/hire-easy/image/upload/v1662629089/abdul_bari_btphj5.jpg,0
227,Digital Advertising Strategy,University of Colorado Boulder,9k,"","",https://www.coursera.org/search?query=Digital Advertising Strategy,4.4,Computer Science,Coursera,University of Colorado Boulder,2022-08-18,India,English,0,4,false,Videos,Neesham,0,0,,0
228,Digital Business Models,Lund University,21k,"","",https://www.coursera.org/search?query=Digital Business Models,4.5,Computer Science,Coursera,Lund University,2022-08-18,India,English,0,4,false,Videos,Neesham,0,0,,0
230,Digital Marketing,University of Illinois at Urbana-Champaign,380k,"","",https://www.coursera.org/search?query=Digital Marketing,4.6,Computer Science,Coursera,University of Illinois at Urbana-Champaign,2022-08-18,India,English,0,4,false,Videos,Neesham,0,0,,0
231,Digital Media and Marketing Strategies,University of Illinois at Urbana-Champaign,57k,"","",https://www.coursera.org/search?query=Digital Media and Marketing Strategies,4.4,Computer Science,Coursera,University of Illinois at Urbana-Champaign,2022-08-18,India,English,0,4,false,Videos,Neesham,0,0,,0
958,Practical PHP: Master the Basics and Code Dynamic Websites,Brad Hussey,712826,Code Your Very Own Dynamic Websites by Learning PHP Through Real-World Application & Examples,https://img-c.udemycdn.com/course/240x135/130064_22b3_12.jpg,https://www.udemy.com/course/code-dynamic-websites/,4.0,Computer Science,Udemy,"",2022-09-02,India,English,500,4,false,Videos,Neesham,0,0,https://img-c.udemycdn.com/course/125_H/130064_22b3_12.jpg,0
960,Python for linear algebra (for absolute beginners),Mike X Cohen,536911,Dip your feet into the amazing world of using Python code to understand vectors and matrices.,https://img-c.udemycdn.com/course/240x135/3231569_bf57_3.jpg,https://www.udemy.com/course/test-the-pyla-waters/,0.0,Computer Science,Udemy,"",2022-09-02,India,English,500,4,false,Videos,Neesham,0,0,https://img-c.udemycdn.com/course/125_H/3231569_bf57_3.jpg,0
961,Python from Beginner to Intermediate in 30 min.,Gautam Devaraj,174052,Complete Python Programming in 30 min - Get ready for Advanced Concepts.,https://img-c.udemycdn.com/course/240x135/702210_5ec0_3.jpg,https://www.udemy.com/course/python-from-beginner-to-expert-starter-free/,4.0,Computer Science,Udemy,"",2022-09-02,India,English,500,4,false,Videos,Neesham,0,0,https://img-c.udemycdn.com/course/125_H/702210_5ec0_3.jpg,0
962,R Basics - R Programming Language Introduction,R-Tutorials Training,192562,Learn the essentials of R Programming - R Beginner Level!,https://img-c.udemycdn.com/course/240x135/236676_881e_4.jpg,https://www.udemy.com/course/r-basics/,1.0,Computer Science,Udemy,"",2022-09-02,India,English,500,4,false,Videos,Neesham,0,0,https://img-c.udemycdn.com/course/125_H/236676_881e_4.jpg,0
963,React JS Frontend Web Development for Beginners,Ryan Dhungel,704373,Learn React JS along with Modern JavaScript from absolute scratch. This course is a getting started guide for beginners.,https://img-c.udemycdn.com/course/240x135/2222856_2303.jpg,https://www.udemy.com/course/react-tutorial/,4.0,Computer Science,Udemy,"",2022-09-02,India,English,500,4,false,Videos,Neesham,0,0,https://img-c.udemycdn.com/course/125_H/2222856_2303.jpg,0
964,SEO Mini Course For Beginners 2022 - Learn The Basics,Joshua George,928391,Learn How To Rank Your Website On Page 1 in Google. Learn From The Owner Of the Leading SEO Agency In London.,https://img-c.udemycdn.com/course/240x135/3123916_970e_3.jpg,https://www.udemy.com/course/seo-training-for-beginners/,2.0,Computer Science,Udemy,"",2022-09-02,India,English,500,4,false,Videos,Neesham,0,0,https://img-c.udemycdn.com/course/125_H/3123916_970e_3.jpg,0
965,SEO Training Course by Moz,Moz moz,109374,Learn SEO tips and tricks in this SEO training course from Moz,https://img-c.udemycdn.com/course/240x135/11331_b1c4_9.jpg,https://www.udemy.com/course/whiteboard-seo/,4.0,Computer Science,Udemy,"",2022-09-02,India,English,500,4,false,Videos,Neesham,0,0,https://img-c.udemycdn.com/course/125_H/11331_b1c4_9.jpg,0
966,SEO Tutorial for Beginners,Daragh Walsh,152255,"Learn the basics to SEO Optimise Your Site, Get to the Top of Google and Increase Sales!",https://img-b.udemycdn.com/course/240x135/466000_ba10.jpg,https://www.udemy.com/course/seo-tutorial/,0.0,Computer Science,Udemy,"",2022-09-02,India,English,500,4,false,Videos,Neesham,0,0,https://img-b.udemycdn.com/course/125_H/466000_ba10.jpg,0
967,Scratch Game Programming,Al Sweigart,795075,A fun guide to programming for parents & teachers who want to help kids learn to code.,https://img-c.udemycdn.com/course/240x135/830298_f8f8_4.jpg,https://www.udemy.com/course/scratch-game-programming/,1.0,Computer Science,Udemy,"",2022-09-02,India,English,500,4,false,Videos,Neesham,0,0,https://img-c.udemycdn.com/course/125_H/830298_f8f8_4.jpg,0
969,Spiritual Interpretation of Numerology's Divine Messages.,Nickolas Mparalos,806682,"Learn to interpretate messages from the Divine Expressions such as Guardian Angels, Spiritual Guides & Ascended Masters.",https://img-c.udemycdn.com/course/240x135/4564586_18ff.jpg,https://www.udemy.com/course/spiritual-interpretation-of-numerologys-divine-messages/,4.0,Computer Science,Udemy,"",2022-09-02,India,English,500,4,false,Videos,Neesham,0,0,https://img-c.udemycdn.com/course/125_H/4564586_18ff.jpg,0
970,Statistics and data literacy for non-statisticians,Mike X Cohen,699832,Learn the key terms and analysis methods in statistics,https://img-c.udemycdn.com/course/240x135/3212317_d119_3.jpg,https://www.udemy.com/course/statistics-literacy-for-non-statisticians/,4.0,Computer Science,Udemy,"",2022-09-02,India,English,500,4,false,Videos,Neesham,0,0,https://img-c.udemycdn.com/course/125_H/3212317_d119_3.jpg,0
971,Stock Market Investing for Beginners,John Ducas,830682,"Learn all the Basics of the Stock Market, through comprehensive, interesting and fun lectures!",https://img-c.udemycdn.com/course/240x135/133536_a292_11.jpg,https://www.udemy.com/course/the-beginners-guide-to-the-stock-market/,1.0,Computer Science,Udemy,"",2022-09-02,India,English,500,4,false,Videos,Neesham,0,0,https://img-c.udemycdn.com/course/125_H/133536_a292_11.jpg,0
972,TOTAL Python: Become an Advanced Python Developer in 16 days,Federico Garay,200384,"One REAL Python project per day. From ZERO to Facial Recognition. Machine Learning, Data Science, Django, IGU, Games+",https://img-c.udemycdn.com/course/240x135/4580634_5d6c.jpg,https://www.udemy.com/course/total-python/,4.0,Computer Science,Udemy,"",2022-09-02,India,English,500,4,false,Videos,Neesham,0,0,https://img-c.udemycdn.com/course/125_H/4580634_5d6c.jpg,0
973,"The Basics of Bitcoin, Cryptocurrency and NFTs",George Levy,256142,"Learn key concepts of Bitcoin, Cryptocurrencies and Non-Fungible Tokens (NFTs) - as easy as 1,2,3!",https://img-c.udemycdn.com/course/240x135/4602486_8556_4.jpg,https://www.udemy.com/course/basics-of-bitcoin-cryptocurrency-nfts/,3.0,Computer Science,Udemy,"",2022-09-02,India,English,500,4,false,Videos,Neesham,0,0,https://img-c.udemycdn.com/course/125_H/4602486_8556_4.jpg,0
974,The Complete 2022 Web Development Bootcamp,Dr. Angela Yu,607845,"Become a Full-Stack Web Developer with just ONE course. HTML, CSS, Javascript, Node, React, MongoDB, Web3 and DApps",https://s.udemycdn.com/premium-clp/1565838/CourseImage-240x135.jpg,https://www.udemy.com/course/the-complete-web-development-bootcamp/,1.0,Computer Science,Udemy,"",2022-09-02,India,English,500,4,false,Videos,Neesham,0,0,https://img-c.udemycdn.com/course/125_H/1565838_e54e_16.jpg,0
975,The Complete JavaScript Course 2022: From Zero to Expert!,Jonas Schmedtmann,886755,"The modern JavaScript course for everyone! Master JavaScript with projects, challenges and theory. Many courses in one!",https://img-c.udemycdn.com/course/240x135/851712_fc61_6.jpg,https://www.udemy.com/course/the-complete-javascript-course/,2.0,Computer Science,Udemy,"",2022-09-02,India,English,500,4,false,Videos,Neesham,0,0,https://img-c.udemycdn.com/course/125_H/851712_fc61_6.jpg,0
986,Flutter Essential,Vincenzo Guzzi,0,"Build for both iOS and Android with Flutter! Flutter is a new and exciting software development toolkit that lets you target multiple platforms at once, so you can build apps for iOS, Android and even web and desktop, all from a single codebase.",https://res.cloudinary.com/hire-easy/image/upload/v1662629699/flutter_q0avvn.jpg,https://www.raywenderlich.com/books/flutter-apprentice/v2.0,4.0,Computer Science,raywenderlich.com,"",2022-09-08,India,English,0,4,true,Textual,Neesham,0,0,https://res.cloudinary.com/hire-easy/image/upload/v1662629699/flutter_q0avvn.jpg,0
265,Enterprise Architecture,Peter the Great St. Petersburg Polytechnic University,2.4k,"","",https://www.coursera.org/search?query=Enterprise Architecture,4.4,Computer Science,Coursera,Peter the Great St. Petersburg Polytechnic University,2022-08-18,India,English,0,4,false,Videos,Neesham,0,0,,0
977,Ultimate AWS Certified Solutions Architect Associate 2022,"Stephane Maarek | AWS Certified Cloud Practitioner,Solutions Architect,Developer",777410,Full Practice Exam | Learn Cloud Computing | Pass the AWS Certified Solutions Architect Associate Certification SAA-C02!,https://img-c.udemycdn.com/course/240x135/2196488_8fc7_8.jpg,https://www.udemy.com/course/aws-certified-solutions-architect-associate-saa-c03/,3.0,Computer Science,Udemy,"",2022-09-02,India,English,500,4,false,Videos,Neesham,0,0,https://img-c.udemycdn.com/course/125_H/2196488_8fc7_8.jpg,3
976,The Complete SQL Bootcamp 2022: Go from Zero to Hero,Jose Portilla,40526,Become an expert at SQL!,https://img-c.udemycdn.com/course/240x135/762616_7693_3.jpg,https://www.udemy.com/course/the-complete-sql-bootcamp/,3.0,Computer Science,Udemy,"",2022-09-02,India,English,500,4,false,Videos,Neesham,0,0,https://img-c.udemycdn.com/course/125_H/762616_7693_3.jpg,3
